Store,Date,Forecast,WeekOfYear,Lower_95,Upper_95,Expected_MAPE
1,2012-11-02,1715728.0,44,1647300.0,1784156.0,2.03
1,2012-11-09,1642987.0,45,1577460.0,1708514.0,2.03
1,2012-11-16,1599325.0,46,1535539.0,1663111.0,2.03
1,2012-11-23,2057996.0,47,1975917.0,2140075.0,2.03
1,2012-11-30,1634129.0,48,1568955.0,1699303.0,2.03
1,2012-12-07,1805829.0,49,1733807.0,1877851.0,2.03
1,2012-12-14,1891910.0,50,1816455.0,1967365.0,2.03
1,2012-12-21,2206029.0,51,2118046.0,2294012.0,2.03
1,2012-12-28,1582913.0,52,1519782.0,1646044.0,2.03
1,2013-01-04,1600870.0,1,1537023.0,1664717.0,2.03
1,2013-01-11,1508703.0,2,1448532.0,1568874.0,2.03
1,2013-01-18,1448668.0,3,1390891.0,1506445.0,2.03
2,2012-11-02,1960334.0,44,1851956.0,2068712.0,2.82
2,2012-11-09,1966722.0,45,1857991.0,2075453.0,2.82
2,2012-11-16,1963105.0,46,1854574.0,2071636.0,2.82
2,2012-11-23,2404062.0,47,2271153.0,2536971.0,2.82
2,2012-11-30,1989865.0,48,1879855.0,2099875.0,2.82
2,2012-12-07,2222153.0,49,2099301.0,2345005.0,2.82
2,2012-12-14,2328060.0,50,2199352.0,2456768.0,2.82
2,2012-12-21,2874202.0,51,2715301.0,3033103.0,2.82
2,2012-12-28,1951419.0,52,1843534.0,2059304.0,2.82
2,2013-01-04,1837774.0,1,1736172.0,1939376.0,2.82
2,2013-01-11,1797260.0,2,1697898.0,1896622.0,2.82
2,2013-01-18,1765016.0,3,1667437.0,1862595.0,2.82
3,2012-11-02,455621.0,44,429491.0,481751.0,2.93
3,2012-11-09,431580.0,45,406829.0,456331.0,2.93
3,2012-11-16,422102.0,46,397894.0,446310.0,2.93
3,2012-11-23,510350.0,47,481081.0,539619.0,2.93
3,2012-11-30,456045.0,48,429891.0,482199.0,2.93
3,2012-12-07,456537.0,49,430355.0,482719.0,2.93
3,2012-12-14,482069.0,50,454422.0,509716.0,2.93
3,2012-12-21,511074.0,51,481764.0,540384.0,2.93
3,2012-12-28,434997.0,52,410050.0,459944.0,2.93
3,2013-01-04,415207.0,1,391395.0,439019.0,2.93
3,2013-01-11,410360.0,2,386826.0,433894.0,2.93
3,2013-01-18,410727.0,3,387172.0,434282.0,2.93
4,2012-11-02,2284291.0,44,2160270.0,2408312.0,2.77
4,2012-11-09,2261050.0,45,2138291.0,2383809.0,2.77
4,2012-11-16,2278993.0,46,2155260.0,2402726.0,2.77
4,2012-11-23,2827796.0,47,2674267.0,2981325.0,2.77
4,2012-11-30,2246347.0,48,2124386.0,2368308.0,2.77
4,2012-12-07,2376216.0,49,2247204.0,2505228.0,2.77
4,2012-12-14,2762226.0,50,2612257.0,2912195.0,2.77
4,2012-12-21,3497802.0,51,3307896.0,3687708.0,2.77
4,2012-12-28,2161068.0,52,2043737.0,2278399.0,2.77
4,2013-01-04,2179984.0,1,2061626.0,2298342.0,2.77
4,2013-01-11,2036919.0,2,1926329.0,2147509.0,2.77
4,2013-01-18,2162742.0,3,2045321.0,2280163.0,2.77
5,2012-11-02,340447.0,44,311277.0,369617.0,4.37
5,2012-11-09,331192.0,45,302815.0,359569.0,4.37
5,2012-11-16,324591.0,46,296780.0,352402.0,4.37
5,2012-11-23,446685.0,47,408412.0,484958.0,4.37
5,2012-11-30,346301.0,48,316629.0,375973.0,4.37
5,2012-12-07,347338.0,49,317578.0,377098.0,4.37
5,2012-12-14,347005.0,50,317273.0,376737.0,4.37
5,2012-12-21,410630.0,51,375447.0,445813.0,4.37
5,2012-12-28,344593.0,52,315068.0,374118.0,4.37
5,2013-01-04,328991.0,1,300803.0,357179.0,4.37
5,2013-01-11,316883.0,2,289732.0,344034.0,4.37
5,2013-01-18,315087.0,3,288090.0,342084.0,4.37
6,2012-11-02,1560380.0,44,1487518.0,1633242.0,2.38
6,2012-11-09,1614195.0,45,1538821.0,1689569.0,2.38
6,2012-11-16,1561346.0,46,1488439.0,1634253.0,2.38
6,2012-11-23,2203165.0,47,2100289.0,2306041.0,2.38
6,2012-11-30,1749807.0,48,1668100.0,1831514.0,2.38
6,2012-12-07,1917542.0,49,1828003.0,2007081.0,2.38
6,2012-12-14,2074005.0,50,1977160.0,2170850.0,2.38
6,2012-12-21,2573193.0,51,2453038.0,2693348.0,2.38
6,2012-12-28,1662963.0,52,1585311.0,1740615.0,2.38
6,2013-01-04,1451319.0,1,1383550.0,1519088.0,2.38
6,2013-01-11,1396256.0,2,1331058.0,1461454.0,2.38
6,2013-01-18,1385921.0,3,1321206.0,1450636.0,2.38
7,2012-11-02,567292.0,44,455289.0,679295.0,10.07
7,2012-11-09,557535.0,45,447458.0,667612.0,10.07
7,2012-11-16,548113.0,46,439896.0,656330.0,10.07
7,2012-11-23,921717.0,47,739738.0,1103696.0,10.07
