Store,forecast_total,avg_weekly,peak_week_sales,recent_actual_total,change_pct,peak_week
4,29075434.0,2422953.0,3497802.0,25663072.0,13.3,2012-12-21
20,28348660.0,2362388.0,3457743.0,24862924.0,14.0,2012-12-21
13,27935741.0,2327978.0,3492734.0,24316058.0,14.9,2012-12-21
10,25681045.0,2140087.0,3311814.0,20790721.0,23.5,2012-12-21
2,25059972.0,2088331.0,2874202.0,22489592.0,11.4,2012-12-21
14,23920600.0,1993383.0,3292930.0,19713168.0,21.3,2012-12-21
27,21594476.0,1799540.0,2605759.0,20002309.0,8.0,2012-12-21
6,21150092.0,1762508.0,2573193.0,17833829.0,18.6,2012-12-21
39,21035828.0,1752986.0,2401513.0,19122203.0,10.0,2012-12-21
1,20695087.0,1724591.0,2206029.0,18634453.0,11.1,2012-12-21
23,19227745.0,1602312.0,2432937.0,17178152.0,11.9,2012-12-21
19,18504163.0,1542014.0,2118926.0,16820027.0,10.0,2012-12-21
31,18397551.0,1533129.0,2055018.0,16371493.0,12.4,2012-12-21
11,18277481.0,1523123.0,2182219.0,15886054.0,15.1,2012-12-21
41,17872328.0,1489361.0,2227800.0,16625888.0,7.5,2012-12-21
24,17250057.0,1437505.0,1932783.0,16179411.0,6.6,2012-12-21
28,16926784.0,1410565.0,1757909.0,14765007.0,14.6,2012-11-23
32,15961053.0,1330088.0,1837360.0,14343586.0,11.3,2012-12-21
18,14420280.0,1201690.0,1785824.0,12639123.0,14.1,2012-12-21
22,14023502.0,1168625.0,1785909.0,11937412.0,17.5,2012-12-21
12,13639098.0,1136592.0,1567296.0,11594314.0,17.6,2012-12-21
34,13006761.0,1083897.0,1542910.0,11519401.0,12.9,2012-12-21
26,12827222.0,1068935.0,1478817.0,12334127.0,4.0,2012-12-21
40,12626614.0,1052218.0,1575532.0,11610269.0,8.8,2012-12-21
17,12227303.0,1018942.0,1261505.0,11495229.0,6.4,2012-12-21
8,12216207.0,1018017.0,1391875.0,10994050.0,11.1,2012-12-21
35,11563001.0,963583.0,1624560.0,10429837.0,10.9,2012-11-23
45,10696863.0,891405.0,1487989.0,8759402.0,22.1,2012-12-21
21,10028544.0,835712.0,1301199.0,8225061.0,21.9,2012-12-21
25,9933159.0,827763.0,1227482.0,8358419.0,18.8,2012-12-21
7,8354410.0,696201.0,1053850.0,6730591.0,24.1,2012-12-21
15,8306157.0,692180.0,1106996.0,6827846.0,21.7,2012-12-21
9,7615056.0,634588.0,901970.0,6619952.0,15.0,2012-12-21
29,7585065.0,632089.0,1030230.0,6177323.0,22.8,2012-12-21
43,7575532.0,631294.0,651660.0,7417446.0,2.1,2012-12-21
16,7174647.0,597887.0,922549.0,6238205.0,15.0,2012-12-21
42,7171873.0,597656.0,642484.0,6691908.0,7.2,2013-01-11
37,6559845.0,546654.0,615753.0,6317012.0,3.8,2012-12-21
3,5396669.0,449722.0,511074.0,4912351.0,9.9,2012-12-21
30,5262389.0,438532.0,457733.0,5217606.0,0.9,2012-12-21
38,5212332.0,434361.0,455780.0,5142075.0,1.4,2012-11-02
5,4199743.0,349979.0,446685.0,3855448.0,8.9,2012-11-23
44,4057200.0,338100.0,353305.0,4076271.0,-0.5,2012-12-21
36,3651172.0,304264.0,328934.0,3476077.0,5.0,2012-12-14
33,3226881.0,268907.0,289381.0,3177393.0,1.6,2013-01-11
