Store,total_sales,avg_weekly,median_weekly,std_weekly,best_week,worst_week,cv_pct,share_pct,rank
20,301397792.0,2107677.0,2053165.0,275901.0,3766687.0,1761017.0,13.1,4.47,1
4,299543953.0,2094713.0,2073951.0,266201.0,3676389.0,1762539.0,12.7,4.45,2
14,288999911.0,2020978.0,2004330.0,317570.0,3818686.0,1479515.0,15.7,4.29,3
13,286517704.0,2003620.0,1958824.0,265507.0,3595903.0,1633663.0,13.3,4.25,4
2,275382441.0,1925751.0,1879107.0,237684.0,3436008.0,1650394.0,12.3,4.09,5
10,271617714.0,1899425.0,1827522.0,302262.0,3749058.0,1627707.0,15.9,4.03,6
27,253855917.0,1775216.0,1731935.0,239930.0,3078162.0,1263535.0,13.5,3.77,7
6,223756131.0,1564728.0,1524390.0,212526.0,2727575.0,1261253.0,13.6,3.32,8
1,222402809.0,1555264.0,1534850.0,155981.0,2387950.0,1316899.0,10.0,3.3,9
39,207445542.0,1450668.0,1416006.0,217466.0,2554483.0,1158698.0,15.0,3.08,10
19,206634862.0,1444999.0,1408969.0,191723.0,2678206.0,1181205.0,13.3,3.07,11
31,199613906.0,1395901.0,1378340.0,125856.0,2068943.0,1198072.0,9.0,2.96,12
23,198750618.0,1389864.0,1358444.0,249788.0,2734277.0,1016756.0,18.0,2.95,13
24,194016021.0,1356755.0,1339630.0,167746.0,2386016.0,1057290.0,12.4,2.88,14
11,193962787.0,1356383.0,1323243.0,165834.0,2306265.0,1100419.0,12.2,2.88,15
28,189263681.0,1323522.0,1266460.0,181759.0,2026026.0,1079669.0,13.7,2.81,16
41,181341935.0,1268125.0,1243815.0,187907.0,2263723.0,991942.0,14.8,2.69,17
32,166819246.0,1166568.0,1144902.0,138017.0,1959527.0,955464.0,11.8,2.48,18
18,155114734.0,1084718.0,1060433.0,176642.0,2027507.0,540923.0,16.3,2.3,19
22,147075649.0,1028501.0,996629.0,161251.0,1962445.0,774262.0,15.7,2.18,20
12,144287230.0,1009002.0,981616.0,139167.0,1768250.0,802106.0,13.8,2.14,21
26,143416394.0,1002912.0,996724.0,110431.0,1573982.0,809833.0,11.0,2.13,22
34,138249763.0,966782.0,950154.0,104630.0,1620748.0,836718.0,10.8,2.05,23
40,137870310.0,964128.0,954234.0,119002.0,1648829.0,764015.0,12.3,2.05,24
35,131520672.0,919725.0,849779.0,211243.0,1781867.0,576332.0,23.0,1.95,25
8,129951181.0,908750.0,893400.0,106281.0,1511641.0,772539.0,11.7,1.93,26
17,127782139.0,893581.0,872818.0,112163.0,1309227.0,635863.0,12.6,1.9,27
45,112395341.0,785981.0,764014.0,130169.0,1682862.0,617208.0,16.6,1.67,28
21,108117879.0,756069.0,737014.0,128753.0,1587258.0,596218.0,17.0,1.6,29
25,101061179.0,706722.0,685677.0,112977.0,1295391.0,558795.0,16.0,1.5,30
43,90565435.0,633325.0,634815.0,40598.0,725043.0,505406.0,6.4,1.34,31
15,89133684.0,623312.0,603319.0,120539.0,1368318.0,454183.0,19.3,1.32,32
7,81598275.0,570617.0,557166.0,112585.0,1059715.0,372674.0,19.7,1.21,33
42,79565752.0,556404.0,556046.0,50263.0,674919.0,428954.0,9.0,1.18,34
9,77789219.0,543981.0,536538.0,69029.0,905325.0,452905.0,12.7,1.15,35
29,77141554.0,539451.0,518628.0,99120.0,1130927.0,395987.0,18.4,1.15,36
16,74252425.0,519248.0,508520.0,85770.0,1004731.0,368600.0,16.5,1.1,37
37,74202740.0,518900.0,518124.0,21837.0,605791.0,451328.0,4.2,1.1,38
30,62716885.0,438580.0,438069.0,22810.0,519355.0,369722.0,5.2,0.93,39
3,57586735.0,402704.0,395107.0,46320.0,605990.0,339597.0,11.5,0.85,40
38,55159626.0,385732.0,380870.0,42768.0,499268.0,303909.0,11.1,0.82,41
36,53412215.0,373512.0,373268.0,60725.0,489372.0,270678.0,16.3,0.79,42
5,45475689.0,318012.0,310338.0,37738.0,507900.0,260637.0,11.9,0.67,43
44,43293088.0,302749.0,298080.0,24763.0,376234.0,241937.0,8.2,0.64,44
33,37160222.0,259862.0,258427.0,24133.0,331174.0,209986.0,9.3,0.55,45
